,Kernel Name,gpc__cycles_elapsed.max,sm__throughput.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_active,lts__throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,sm__issue_active.avg.pct_of_peak_sustained_elapsed,sm__inst_executed.avg.pct_of_peak_sustained_elapsed,sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_elapsed,sm__mio2rf_writeback_active.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_fp16.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed,sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed
11,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","197,863",14.11,90.78,33.20,34.79,90.78,9.97,9.96,5.81,2.91,3.32,1.66,2.49,0,0,0,0,0
12,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","145,138",40.81,60.40,36.28,23.75,60.40,40.81,40.79,40.79,19.26,13.60,4.53,4.53,0,0,0,0,0
13,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<double, at::native::WelfordOps<double, double, int, float, thrust::pair<double, double>>, unsigned int, double, (int)2>>(T3)","14,967",16.00,23.51,32.16,23.51,11.62,16.00,15.26,6.05,6.01,10.30,1.43,4.16,0,6.87,7.73,7.73,0
14,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)","2,676",0.01,0.16,28.81,0.16,0.01,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0,0,0,0,0
15,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,860",0.02,0.17,17.06,0.17,0.10,0.02,0.02,0.01,0.01,0.01,0.00,0.01,0,0,0,0,0
16,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,810",0.02,0.17,18.00,0.17,0.11,0.02,0.02,0.01,0.01,0.01,0.00,0.01,0,0,0,0,0
17,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,840",0.02,0.16,18.06,0.16,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
18,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","4,035",0.99,17.78,10.23,10.05,17.78,0.99,0.91,0.32,0.87,0.79,0.32,0.79,0,0,0,0,0
19,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,247",1.09,11.12,8.90,8.34,11.12,1.09,0.99,0.30,0.99,0.79,0.39,0.59,0,0,0,0,0
20,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","4,883",12.02,21.82,15.85,16.55,21.82,11.95,11.83,5.52,12.02,1.58,0.79,1.18,0,6.31,0,0,0
21,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<double, double, double, at::native::MulFunctor<double>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","7,184",11.97,39.51,24.36,26.36,39.51,11.97,11.53,11.53,5.36,4.29,1.07,2.68,0,0,1.07,1.07,0
22,volta_sgemm_32x128_tn,"82,856",64.80,61.91,68.86,25.03,61.27,51.43,51.39,19.02,64.80,32.45,0.74,19.43,0,0,0,0,0
23,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","197,999",14.10,90.79,33.18,34.79,90.79,9.96,9.95,5.81,2.90,3.32,1.66,2.49,0,0,0,0,0
24,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::or_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 24)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4>>(T3)","5,444",0.24,0.08,6.72,0.08,0.03,0.24,0.22,0.21,0.05,0.08,0.07,0.03,0,0,0,0,0
25,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<double, double, double, at::native::MulFunctor<double>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,839",0.01,0.14,18.74,0.14,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0
26,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(double) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","21,148",2.57,76.17,30.63,31.34,76.17,2.57,2.46,2.55,0.82,1.09,0.36,0.55,0,0,0,0,0
27,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,813",0.02,0.17,18.22,0.17,0.11,0.02,0.02,0.01,0.01,0.01,0.00,0.01,0,0,0,0,0
28,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,428",1.07,10.51,8.74,7.90,10.51,1.07,0.98,0.28,1.03,0.75,0.37,0.56,0,0,0,0,0
29,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,818",0.02,0.16,18.32,0.16,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
30,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,752",0.02,0.16,18.49,0.16,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
31,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,175",0.63,6.31,6.04,4.75,6.31,0.63,0.57,0.18,0.56,0.45,0.22,0.34,0,0,0,0,0
32,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","4,965",12.13,21.65,15.58,16.28,21.65,12.13,12.01,6.20,11.82,1.55,0.78,1.16,0,6.20,0,0,0
33,"void at::native::<unnamed>::CatArrayBatchedCopy<long, unsigned int, (int)3, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)","11,190",15.12,51.87,40.43,33.38,51.87,15.12,14.80,11.19,11.25,3.90,11.03,3.21,0,6.88,0,0,0
34,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<double, double, double, at::native::MulFunctor<double>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 2)]>(int, T3)","13,784",32.19,60.96,33.60,35.02,60.96,32.19,31.98,30.62,9.86,5.87,11.37,5.45,0,6.71,1.68,1.68,0
35,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<double, double, double, at::native::AddFunctor<double>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","8,306",1.85,29.13,40.83,29.13,25.95,1.51,1.39,0.23,1.04,1.39,0.46,1.16,0,0,0.93,0.93,0
36,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<double, double, double, at::native::MulFunctor<double>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","9,692",1.79,44.23,38.19,33.24,44.23,1.35,1.29,0.20,0.89,1.59,0.40,1.79,0,0,0.79,0.79,0
37,volta_sgemm_128x32_nn,"1,373,954",92.19,70.96,71.63,37.80,16.93,65.61,65.60,15.41,92.19,42.01,0.54,26.83,0,0,0,0,0
38,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)","174,057",5.36,53.75,25.66,23.75,53.75,5.36,5.30,3.46,4.84,1.65,0.49,2.14,0,0.06,0,0,0
39,volta_sgemm_32x128_nt,"952,561",88.30,58.90,58.69,36.71,24.64,59.05,59.02,9.44,88.30,37.63,0.03,25.62,0,0,0,0,0
40,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, void at::native::threshold_kernel_impl<float>(at::TensorIteratorBase &, T1, T1)::[lambda(float, float) (instance 1)]>, at::detail::Array<char *, (int)3>>(int, T2, T3)","295,323",3.75,92.22,26.68,34.97,92.22,3.75,3.75,2.78,2.50,2.78,1.11,2.78,0,0,0,0,0
41,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcmul_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","4,247",1.25,16.94,9.85,9.55,16.94,1.25,1.13,0.38,1.21,0.91,0.30,1.06,0,0,0,0,0
42,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcdiv_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","4,156",2.52,14.35,7.82,7.20,14.35,2.47,2.40,0.35,2.52,0.87,0.17,0.60,0,1.36,0,0,0
43,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcmul_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","3,096",0.02,0.15,17.30,0.15,0.10,0.02,0.02,0.02,0.01,0.02,0.00,0.01,0,0,0,0,0
44,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcdiv_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","3,652",0.04,0.12,11.80,0.12,0.06,0.03,0.03,0.01,0.02,0.01,0.00,0.00,0,0.01,0,0,0
45,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","5,653",11.91,19.05,13.72,14.38,19.05,11.69,11.23,11.91,4.08,5.45,1.36,2.04,0,0,0,0,0
46,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","97,829",14.28,89.32,33.61,35.21,89.32,10.09,10.08,5.88,2.94,3.36,1.68,2.52,0,0,0,0,0
47,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","145,166",40.77,60.36,36.23,23.72,60.36,40.77,40.74,40.74,19.24,13.58,4.53,4.53,0,0,0,0,0
48,volta_sgemm_32x128_tn,"82,066",65.39,62.47,69.23,25.24,61.50,51.89,51.85,19.19,65.39,32.74,0.75,19.60,0,0,0,0,0
49,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<double>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,391",0.07,1.19,24.83,1.19,1.01,0.05,0.05,0.01,0.03,0.05,0.02,0.04,0,0,0.04,0.04,0
50,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_backward_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(double, double) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)","25,429",2.73,65.19,43.89,40.54,65.19,1.96,1.93,0.23,1.02,1.82,0.45,2.05,0,0,2.73,2.73,0
51,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)","175,009",5.33,53.47,25.68,23.70,53.47,5.33,5.28,3.44,4.81,1.64,0.49,2.13,0,0.05,0,0,0
52,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,996",0.34,5.93,9.24,3.38,5.93,0.34,0.32,0.12,0.29,0.27,0.11,0.26,0,0,0,0,0
53,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,411",1.03,10.60,8.70,7.95,10.60,1.03,0.94,0.28,0.94,0.75,0.38,0.56,0,0,0,0,0
54,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","4,180",4.45,8.67,6.23,6.48,8.67,3.45,3.37,1.61,2.03,0.84,0.31,0.46,0,1.23,0,0,0
55,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,921",0.02,0.15,18.36,0.15,0.05,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
56,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","3,091",0.04,0.15,15.18,0.15,0.05,0.03,0.03,0.02,0.01,0.01,0.00,0.00,0,0.01,0,0,0
57,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","145,142",40.79,60.36,36.25,23.74,60.36,40.79,40.76,40.76,19.25,13.59,4.53,4.53,0,0,0,0,0
58,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<double, double, double, at::native::MulFunctor<double>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,108",0.03,0.51,27.73,0.51,0.37,0.02,0.02,0.00,0.01,0.02,0.01,0.02,0,0,0.01,0.01,0
59,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(double) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 2)]>(int, T3)","6,867",0.10,0.59,22.26,0.59,0.08,0.08,0.08,0.08,0.03,0.01,0.03,0.01,0,0.02,0,0,0
60,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<double, double, bool, at::native::<unnamed>::CompareEqFunctor<double>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,046",0.09,1.12,9.01,0.62,1.12,0.09,0.08,0.06,0.03,0.05,0.02,0.05,0,0,0.08,0.08,0
61,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","3,001",0.02,0.18,15.62,0.18,0.15,0.02,0.02,0.02,0.01,0.02,0.00,0.01,0,0,0,0,0
62,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)","173,997",5.36,53.80,26.03,24.36,53.80,5.36,5.31,3.46,4.84,1.65,0.49,2.15,0,0.06,0,0,0
63,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<double, double, double, void at::native::threshold_kernel_impl<double>(at::TensorIteratorBase &, T1, T1)::[lambda(double, double) (instance 1)]>, at::detail::Array<char *, (int)3>>(int, T2, T3)","5,439",1.09,26.23,22.72,19.80,26.23,1.09,1.00,0.59,0.53,0.94,0.24,1.06,0,0,0.47,0.47,0
64,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,810",0.02,0.16,18.36,0.16,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
65,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,829",0.02,0.17,17.84,0.17,0.11,0.02,0.02,0.01,0.01,0.01,0.00,0.01,0,0,0,0,0
66,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,400",1.04,10.74,8.93,7.98,10.74,1.04,0.94,0.28,0.94,0.75,0.38,0.57,0,0,0,0,0
67,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,685",0.01,0.14,19.74,0.14,0.01,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0,0,0,0,0
68,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(bool, double, double) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","7,769",1.96,39.08,32.10,28.52,39.08,1.96,1.86,1.90,0.83,1.49,0.33,1.57,0,0,0,0,0
69,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<double, double, double, at::native::MulFunctor<double>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 2)]>(int, T3)","14,072",31.54,59.79,32.93,34.34,59.79,31.54,31.34,30.01,9.66,5.75,11.08,5.34,0,6.58,1.64,1.64,0
70,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)","2,606",1.17,5.61,12.95,5.61,0.01,1.17,1.04,0.49,0.86,0.74,0.49,0.25,0,0,0,0,0
71,"void at::native::unrolled_elementwise_kernel<at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>, TrivialOffsetCalculator<(int)2, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)2>, at::native::memory::StoreWithCast>(int, T1, T2, T3, T4, T5, T6)","3,841",0.03,0.10,9.66,0.10,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0,0.00,0,0,0
72,volta_sgemm_128x32_nn,"925,053",91.33,69.76,71.00,40.06,19.85,64.99,64.99,15.27,91.33,41.62,0.53,26.95,0,0,0,0,0
73,"void splitKreduce_kernel<float, float, float>(cublasSplitKParams<T3>, const T1 *, const T2 *, T2 *, const T3 *, const T3 *)","5,152",4.40,27.95,12.86,11.26,27.95,4.40,4.26,3.11,3.17,2.61,0.25,1.12,0,0.75,0,0,0
74,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","3,100",0.02,0.16,18.09,0.16,0.10,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
